	id	main_affiliation	category
396	pub.1127536832	grid.22072.35	Public Health and Health Services
397	pub.1127536832	grid.22072.35	Medical and Health Sciences
398	pub.1127536832	grid.251993.5	Good Health and Well Being
399	pub.1127536832	grid.251993.5	Public Health and Health Services
400	pub.1127536832	grid.251993.5	Medical and Health Sciences
401	pub.1127536832	grid.412460.5	Good Health and Well Being
402	pub.1127536832	grid.412460.5	Public Health and Health Services
403	pub.1127536832	grid.412460.5	Medical and Health Sciences
404	pub.1127536832	grid.417778.a	Good Health and Well Being
405	pub.1127536832	grid.417778.a	Public Health and Health Services
406	pub.1127536832	grid.417778.a	Medical and Health Sciences
407	pub.1127536832	grid.412371.2	Good Health and Well Being
408	pub.1127536832	grid.412371.2	Public Health and Health Services
409	pub.1127536832	grid.412371.2	Medical and Health Sciences
410	pub.1127536832	grid.5801.c	Good Health and Well Being
411	pub.1127536832	grid.5801.c	Public Health and Health Services
412	pub.1127536832	grid.5801.c	Medical and Health Sciences
413	pub.1127536832	grid.465547.1	Good Health and Well Being
414	pub.1127536832	grid.465547.1	Public Health and Health Services
415	pub.1127536832	grid.465547.1	Medical and Health Sciences
416	pub.1127536832	grid.7400.3	Good Health and Well Being
417	pub.1127536832	grid.7400.3	Public Health and Health Services
418	pub.1127536832	grid.7400.3	Medical and Health Sciences
419	pub.1127536832	grid.239395.7	Good Health and Well Being
420	pub.1127536832	grid.239395.7	Public Health and Health Services
421	pub.1127536832	grid.239395.7	Medical and Health Sciences
422	pub.1127536832	grid.411702.1	Good Health and Well Being
423	pub.1127536832	grid.411702.1	Public Health and Health Services
424	pub.1127536832	grid.411702.1	Medical and Health Sciences
425	pub.1127536832	grid.4991.5	Good Health and Well Being
426	pub.1127536832	grid.4991.5	Public Health and Health Services
427	pub.1127536832	grid.4991.5	Medical and Health Sciences
428	pub.1127536832	grid.16821.3c	Good Health and Well Being
429	pub.1127536832	grid.16821.3c	Public Health and Health Services
430	pub.1127536832	grid.16821.3c	Medical and Health Sciences
431	pub.1127536832	grid.59053.3a	Good Health and Well Being
432	pub.1127536832	grid.59053.3a	Public Health and Health Services
433	pub.1127536832	grid.59053.3a	Medical and Health Sciences
434	pub.1127536832	grid.417423.7	Good Health and Well Being
435	pub.1127536832	grid.417423.7	Public Health and Health Services
436	pub.1127536832	grid.417423.7	Medical and Health Sciences
437	pub.1127575474	grid.13648.38	Medical and Health Sciences
438	pub.1127578315	grid.5330.5	Medical Biotechnology
439	pub.1127578315	grid.5330.5	Technology
440	pub.1127578315	grid.411668.c	Medical Biotechnology
441	pub.1127578315	grid.411668.c	Technology
442	pub.1127578315	grid.489540.4	Medical Biotechnology
443	pub.1127578315	grid.489540.4	Technology
444	pub.1127594600	grid.458458.0	Medical Microbiology
445	pub.1127594600	grid.458458.0	Medical and Health Sciences
446	pub.1127634639	grid.275559.9	Oncology and Carcinogenesis
447	pub.1127634639	grid.275559.9	Public Health and Health Services
448	pub.1127634639	grid.275559.9	Medical and Health Sciences
449	pub.1127634639	grid.489540.4	Oncology and Carcinogenesis
450	pub.1127634639	grid.489540.4	Public Health and Health Services
451	pub.1127634639	grid.489540.4	Medical and Health Sciences
452	pub.1127764645	grid.410458.c	Clinical Sciences
453	pub.1127764645	grid.410458.c	Medical and Health Sciences
454	pub.1127764645	grid.55602.34	Clinical Sciences
455	pub.1127764645	grid.55602.34	Medical and Health Sciences
456	pub.1127764645	grid.27530.33	Clinical Sciences
457	pub.1127764645	grid.27530.33	Medical and Health Sciences
458	pub.1127764645	grid.22254.33	Clinical Sciences
459	pub.1127764645	grid.22254.33	Medical and Health Sciences
460	pub.1127764645	grid.411075.6	Clinical Sciences
461	pub.1127764645	grid.411075.6	Medical and Health Sciences
462	pub.1127764645	grid.411023.5	Clinical Sciences
463	pub.1127764645	grid.411023.5	Medical and Health Sciences
464	pub.1127764645	grid.38142.3c	Clinical Sciences
465	pub.1127764645	grid.38142.3c	Medical and Health Sciences
466	pub.1127764645	grid.9613.d	Clinical Sciences
467	pub.1127764645	grid.9613.d	Medical and Health Sciences
468	pub.1127769033	grid.6363.0	Cardiorespiratory Medicine and Haematology
469	pub.1127769033	grid.6363.0	Medical and Health Sciences
470	pub.1127769033	grid.410721.1	Cardiorespiratory Medicine and Haematology
471	pub.1127769033	grid.410721.1	Medical and Health Sciences
472	pub.1127769033	grid.413120.5	Cardiorespiratory Medicine and Haematology
473	pub.1127769033	grid.413120.5	Medical and Health Sciences
474	pub.1127769033	grid.261331.4	Cardiorespiratory Medicine and Haematology
475	pub.1127769033	grid.261331.4	Medical and Health Sciences
476	pub.1127769033	grid.10423.34	Cardiorespiratory Medicine and Haematology
