	id	for_v1_first_level	for_v1_first_level_code	for_v1_second_level	for_v1_second_level_code
367	pub.1135827683	Medical and Health Sciences	11	Clinical Sciences	1103
368	pub.1135827712	Medical and Health Sciences	11	Neurosciences	1109
369	pub.1135837222	Education	13	Curriculum and Pedagogy	1302
370	pub.1135837222	Education	13	Specialist Studies In Education	1303
371	pub.1135841136	Medical and Health Sciences	11	Public Health and Health Services	1117
372	pub.1135871907	Medical and Health Sciences	11	Clinical Sciences	1103
373	pub.1135880058	Studies in Human Society	16	Human Geography	1604
374	pub.1135880058	Studies in Human Society	16	Policy and Administration	1605
375	pub.1135880058	Studies in Human Society	16	Political Science	1606
376	pub.1135881976	Medical and Health Sciences	11	Public Health and Health Services	1117
377	pub.1135906033	Psychology and Cognitive Sciences	17	Psychology	1701
378	pub.1135906109	Medical and Health Sciences	11	Medical Microbiology	1108
379	pub.1135906826	Biological Sciences	06	Biochemistry and Cell Biology	0601
380	pub.1135914737	Medical and Health Sciences	11		None
381	pub.1135914737	Psychology and Cognitive Sciences	17		None
382	pub.1135930738	Medical and Health Sciences	11	Medical Microbiology	1108
383	pub.1135934008	Medical and Health Sciences	11	Immunology	1107
384	pub.1136045993	Medical and Health Sciences	11	Clinical Sciences	1103
385	pub.1136046523	Medical and Health Sciences	11	Clinical Sciences	1103
386	pub.1136050416	Medical and Health Sciences	11	Oncology and Carcinogenesis	1112
387	pub.1136223629	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
388	pub.1136306214	Medical and Health Sciences	11	Clinical Sciences	1103
389	pub.1136325238	Medical and Health Sciences	11	Pharmacology and Pharmaceutical Sciences	1115
390	pub.1136334210	Commerce, Management, Tourism and Services	15	Commercial Services	1504
391	pub.1136334210	Commerce, Management, Tourism and Services	15	Marketing	1505
392	pub.1136334210	Commerce, Management, Tourism and Services	15	Tourism	1506
393	pub.1136334239	Education	13	Specialist Studies In Education	1303
394	pub.1136401994	Agricultural and Veterinary Sciences	07	Forestry Sciences	0705
395	pub.1136401994	Economics	14	Applied Economics	1402
396	pub.1136401994	Studies in Human Society	16	Policy and Administration	1605
397	pub.1136436630	Medical and Health Sciences	11	Clinical Sciences	1103
398	pub.1136437147	Built Environment and Design	12		None
399	pub.1136441164	Economics	14	Applied Economics	1402
400	pub.1136441164	Studies in Human Society	16	Policy and Administration	1605
401	pub.1136476074	Medical and Health Sciences	11	Pharmacology and Pharmaceutical Sciences	1115
402	pub.1136478799	Earth Sciences	04	Geology	0403
403	pub.1136478799	Environmental Sciences	05	Environmental Science and Management	0502
404	pub.1136478799	Studies in Human Society	16	Human Geography	1604
