	main_affiliation	category	category_count
588	grid.59734.3c	Medical and Health Sciences	2
589	grid.433854.d	Medical and Health Sciences	2
590	grid.7340.0	Medical and Health Sciences	2
591	grid.144767.7	Good Health and Well Being	2
592	grid.415093.a	Good Health and Well Being	2
593	grid.412004.3	Cardiorespiratory Medicine and Haematology	2
594	grid.4708.b	Good Health and Well Being	2
595	grid.1957.a	Good Health and Well Being	2
596	grid.13648.38	Good Health and Well Being	2
597	grid.412581.b	Good Health and Well Being	2
598	grid.411088.4	Immunology	2
599	grid.418010.c	Immunology	2
600	grid.448878.f	Medical and Health Sciences	2
601	grid.469999.2	Good Health and Well Being	2
602	grid.4488.0	Good Health and Well Being	2
603	grid.410718.b	Medical Microbiology	2
604	grid.8404.8	Clinical Sciences	2
605	grid.4691.a	Clinical Sciences	2
606	grid.21729.3f	Medical and Health Sciences	2
607	grid.414818.0	Medical and Health Sciences	2
608	grid.413396.a	Medical and Health Sciences	2
609	grid.415751.3	Medical Microbiology	2
610	grid.415751.3	Medical and Health Sciences	2
611	grid.5596.f	Medical Microbiology	2
612	grid.83440.3b	Cardiorespiratory Medicine and Haematology	2
613	grid.46699.34	Cardiorespiratory Medicine and Haematology	2
614	grid.8267.b	Cardiorespiratory Medicine and Haematology	2
615	grid.467607.4	Cardiorespiratory Medicine and Haematology	2
616	grid.467607.4	Medical and Health Sciences	2
617	grid.17788.31	Cardiorespiratory Medicine and Haematology	2
618	grid.17788.31	Medical and Health Sciences	2
619	grid.412966.e	Cardiorespiratory Medicine and Haematology	2
620	grid.10692.3c	Cardiorespiratory Medicine and Haematology	2
621	grid.10692.3c	Medical and Health Sciences	2
622	grid.412688.1	Cardiorespiratory Medicine and Haematology	2
623	grid.412688.1	Medical and Health Sciences	2
624	grid.411843.b	Cardiorespiratory Medicine and Haematology	2
625	grid.411843.b	Medical and Health Sciences	2
